									
1	1	ENGLISH	CHINESE WORD/WORDS	Cartoon name (SWF)	MP4		PINYIN		
1	2	YOU 	NI	You(ni)_rev.swf	You(ni)1.mp4		nǐ​		
1	3	GOOD	HAO 	GOOD (HAO).swf	Good(h_o)_rev.mp4		​hǎo​		
1	4	HELLO, GREETINGS	NI HAO , NIHAO	HELLO, GREETINGS (NI HAO).swf	HELLO_GREETINGS(ni_hao)_rev_1.mp4	HELLO, GREETINGS,(ni hao)_rev.mp4	nǐ ​hǎo ​		
1	5	QUESTION TAG, QUESTION	MA 	QUESTION TAG (MA).swf	QUESTION TAG (MA).mp4		ma​		
1	6	HOW ARE YOU?	NI HAO MA , NIHAO	How Are You (nihaoma).swf	How_Are_You(nihaoma).mp4		nǐ ​hǎo ​ma​		
1	7	I, ME	WO 	I(wo)2RotateEye_rev.swf	I(wo)2RotateEye_rev.mp4		wǒ​		
1	8	VERY 	HEN 	Very - hen.swf	very(hen)1.mp4		hěn​		
1	9	I’M FINE 	WO HEN HAO	I'M FINE (WO HEN HAO).swf	I_M FINE(wo hen hao)_rev.mp4	IM_FINE(wo_hen_hao)_rev.mp4	wǒ​ hén​ hǎo		
1	10	WHICH 	NA 	Which - na.swf	Which-na.mp4		nǎ​		
1	11	COME 	LAI	COME (LAI).swf	Come(lai)_rev.mp4	Come(lái)1.mp4	lái​		
1	12	CHINESE MILE, INSIDE, PLACE	LI 	Chinese mile, Inside, place(li)_rev.swf	Chinese mile, Inside, place(li)_rev.mp4		lǐ​		
1	13	SINCE, FROM	CONG 	SINCE, FROM (CONG).swf	Since, From(cong)-NOSOUND.mp4	Since, From(cong)1_rev.mp4	cóng​		
1	14	WHERE ARE YOU FROM?	NI CONG NA LI LAI , NI CONG NALI LAI	WHERE ARE YOU FROM (NI CONG NA LI LAI).swf	Where_Are_You_From(nǐ cóng nǎ lǐ lái).mp4		nǐ​ cóng​ nǎ​ lǐ​ lái​		
1	15	NEGATIVE PREFIX	BU 	Negative prefix (bù).swf	Negative prefix(no bù)1_rev.mp4		bù​		
1	16	WILL, CAN 	HUI 	Will or Can - Hui.swf	Will(hui)1.mp4		huì​		
1	17	SAY, SPEAK	SHUO 	Say (shuo).swf	Say(shuo)1_rev.mp4		shuō​ 		
1	18	CHINESE	HUA 	Chinese-adj (hua).swf	Chinese-adj(hua)2fla.mp4		huá​		
1	19	LANGUAGE	YU 	Language, words(yu)_rev.swf	Language, words(yu)_rev.mp4		yǔ​		
1	20	CHINESE (LANGUAGE)	HUA YU	Chinese Language (hua yu).swf	Chinese_(language)(hua_yl)_rev.mp4		huá​ yǔ​ 		
1	21	I DO NOT SPEAK CHINESE	WO BU HUI SHUO HUA YU , WO BU HUI SHUO HUAYU	I Do not speak chinese (wo bu hui shuo hua yu).swf	I Do not speak chinese (wo bu hui shuo hua yu).mp4		wǒ​ bù​ huì​ shuō​ huá​ yǔ​		
1	22	HIGHEST 	TAI 	Highest, Greatest (tai).swf	highest_greatest_(tai_tger)_rev_2.mp4		tài​ 		
1	23	TALK, SAY, BE CALLED	JIANG 	Talk, say, be called (jiang).swf	Talk_say_be_called(jiang)_rev.mp4	Talk, say, be called(jiang).mp4	jiǎng​ 		
1	24	I DO NOT SPEAK MUCH CHINESE	WO BU TAI HUI JIANG HUA YU , WO BU TAI HUI JIANG HUAYU , WO BU TAI HUI SHUO HUA YU, WO BU TAI HUI SHUO HUAYU	I Do not speak much chinese (wo bu tai hui jiang hua yu ma).swf	I Do not speak much chinese (wo bu tai hui jiang hua yu ma).mp4		wǒ​ bù tài​ huì​ jiǎng​ huá​ yǔ​		
1	25	KNOW, UNDERSTAND 	DONG	Know, understand (dong).swf	Know, understand(dong)1_rev.mp4		dǒng​ 		
1	26	WHAT 	SHEN ME , SHENME	What(shen me)_rev.swf	What(shen me)-b_rev_1-NOSOUND.mp4	What(shen me)2.mp4	shěn​ me		
1	27	I DO NOT UNDERSTAND WHAT YOU ARE SAYING	WO BU DONG NI SHUO SHEN ME , WO BU DONG NI SHUO SHENME	I do not understand what you are saying.swf	I do not understand what you are saying.mp4		wǒ​ bù dǒng​ nǐ​ shuō​ shén​ me		
1	28	PLEASE, INVITE	QING 	Please, invite.swf	Please, invite.mp4		qǐng​		
